ITEM;Formato de interconsulta;Formato de orden de intervencion quirurgica;Reporte operatorio;Hoia de evolucion pre anestesica;Lista de verificacion de seguridad de la cirugia;Hoja de anestesia;Hoja post anestesica;Formatos de patologia clinica formato de diagnostico por imagenes;Formato de anatomia patologica;Formato de consentimiento informado;Formato de retiro voluntano ;Epicrisis
1;4;4;4;4;4;4;4;1;4;4;4;2
2;4;4;4;4;4;4;4;1;4;4;4;2
3;3;1;2;1;1;1;1;1;4;1;4;2
4;4;4;4;4;4;4;4;1;4;4;4;2
5;4;4;4;4;4;4;4;1;4;4;4;2
6;4;4;4;4;4;4;4;3;4;4;4;2
7;4;4;4;4;4;4;4;1;4;4;4;1
8;2;1;2;2;1;1;2;1;4;1;4;1
9;3;1;1;1;2;1;1;1;4;1;4;2
10;3;2;2;1;1;2;2;1;1;2;4;2
11;2;2;2;2;1;2;1;1;4;2;4;2
12;4;4;4;4;4;4;4;1;4;4;4;2
13;2;2;2;2;1;1;2;1;4;2;4;2
14;3;1;2;1;1;1;1;1;4;1;4;2
15;4;4;4;4;4;4;4;1;4;4;4;2
16;4;4;4;4;4;4;4;1;4;4;4;2
17;1;1;2;2;1;1;1;1;4;1;4;2
18;4;4;4;4;4;4;4;1;4;4;4;2
19;4;4;4;4;4;4;4;1;4;4;4;2
20;1;1;2;2;1;1;1;1;4;1;4;2
21;4;4;4;4;4;4;4;1;4;4;4;2
22;4;4;4;4;4;4;4;1;4;4;4;2
23;1;1;2;1;1;1;2;1;4;1;4;2
24;4;4;4;4;4;4;4;1;4;4;4;2
25;2;1;2;1;1;1;1;1;1;2;4;1
26;4;4;4;4;4;4;4;1;4;4;4;2
27;1;1;2;1;1;1;1;1;4;2;4;1
28;1;1;2;1;1;1;1;1;4;1;4;1
29;1;1;2;1;1;1;1;1;4;1;4;2
30;4;4;4;4;4;4;4;1;4;4;4;2
31;4;4;4;4;4;4;4;1;4;4;4;1
32;4;4;4;4;4;4;4;1;4;4;4;2
33;4;4;4;4;4;4;4;1;4;4;4;2
34;4;4;4;4;4;4;4;1;4;4;4;2
35;4;4;4;4;4;4;4;1;4;4;4;2
36;4;4;4;4;4;4;4;1;4;4;4;1
37;4;4;4;4;4;4;4;1;4;4;1;4
38;4;4;4;4;4;4;4;1;4;4;4;2
39;2;2;2;2;1;2;2;1;4;1;4;2
